MAC,RSSI,Monotonic,UTC (ESP),UTC Now (SYS),UTC Now (NTP),Time sync,UTC NTP - UTC ESP
7e:97:1b:0d:4b:7d,-63,200752,2026-04-02 20:44:02.910000,2026-04-02 20:44:09.210333,2026-04-02 20:44:09.482460,True,6572.459
06:18:45:30:4c:79,-73,200802,2026-04-02 20:44:02.960000,2026-04-02 20:44:09.210333,2026-04-02 20:44:09.483467,True,6523.466
06:18:45:30:4c:79,-76,200852,2026-04-02 20:44:03.010000,2026-04-02 20:44:09.211340,2026-04-02 20:44:09.483467,True,6473.466
06:18:45:30:4c:79,-71,200902,2026-04-02 20:44:03.060000,2026-04-02 20:44:09.211340,2026-04-02 20:44:09.484473,True,6424.473
80:2b:17:12:45:6f,-52,200945,2026-04-02 20:44:03.103000,2026-04-02 20:44:09.212685,2026-04-02 20:44:09.485818,True,6382.818
06:18:45:30:4c:79,-72,200945,2026-04-02 20:44:03.103000,2026-04-02 20:44:09.213693,2026-04-02 20:44:09.485818,True,6382.818
1d:a8:40:2d:17:f8,-82,200979,2026-04-02 20:44:03.137000,2026-04-02 20:44:09.213693,2026-04-02 20:44:09.486826,True,6349.826
06:18:45:30:4c:79,-74,200979,2026-04-02 20:44:03.137000,2026-04-02 20:44:09.214770,2026-04-02 20:44:09.486826,True,6349.826
06:18:45:30:4c:79,-71,201052,2026-04-02 20:44:03.210000,2026-04-02 20:44:09.215777,2026-04-02 20:44:09.487904,True,6277.903
06:18:45:30:4c:79,-74,201102,2026-04-02 20:44:03.260000,2026-04-02 20:44:09.215777,2026-04-02 20:44:09.488910,True,6228.91
06:18:45:30:4c:79,-76,201152,2026-04-02 20:44:03.310000,2026-04-02 20:44:09.216786,2026-04-02 20:44:09.489919,True,6179.919
06:18:45:30:4c:79,-73,201202,2026-04-02 20:44:03.360000,2026-04-02 20:44:09.217792,2026-04-02 20:44:09.489919,True,6129.919
06:18:45:30:4c:79,-76,201252,2026-04-02 20:44:03.410000,2026-04-02 20:44:09.217792,2026-04-02 20:44:09.490925,True,6080.925
06:18:45:30:4c:79,-75,201292,2026-04-02 20:44:03.450000,2026-04-02 20:44:09.218813,2026-04-02 20:44:09.491946,True,6041.946
7e:97:1b:0d:4b:7d,-62,201292,2026-04-02 20:44:03.450000,2026-04-02 20:44:09.219899,2026-04-02 20:44:09.491946,True,6041.946
06:18:45:30:4c:79,-72,201352,2026-04-02 20:44:03.510000,2026-04-02 20:44:09.219899,2026-04-02 20:44:09.493032,True,5983.032
06:18:45:30:4c:79,-76,201402,2026-04-02 20:44:03.560000,2026-04-02 20:44:09.221003,2026-04-02 20:44:09.493032,True,5933.032
06:18:45:30:4c:79,-75,201452,2026-04-02 20:44:03.610000,2026-04-02 20:44:09.222011,2026-04-02 20:44:09.494136,True,5884.136
80:2b:17:12:45:6f,-58,201502,2026-04-02 20:44:03.660000,2026-04-02 20:44:09.222011,2026-04-02 20:44:09.495144,True,5835.144
06:18:45:30:4c:79,-76,201552,2026-04-02 20:44:03.710000,2026-04-02 20:44:09.223019,2026-04-02 20:44:09.495144,True,5785.144
7e:97:1b:0d:4b:7d,-62,201592,2026-04-02 20:44:03.750000,2026-04-02 20:44:09.223019,2026-04-02 20:44:09.496152,True,5746.152
1d:a8:40:2d:17:f8,-84,201592,2026-04-02 20:44:03.750000,2026-04-02 20:44:09.224129,2026-04-02 20:44:09.497262,True,5747.262
49:1f:eb:cd:ba:d4,-77,201602,2026-04-02 20:44:03.760000,2026-04-02 20:44:09.225220,2026-04-02 20:44:09.497262,True,5737.262
06:18:45:30:4c:79,-74,201650,2026-04-02 20:44:03.808000,2026-04-02 20:44:09.225220,2026-04-02 20:44:09.498353,True,5690.353
57:14:14:81:01:ce,-71,201650,2026-04-02 20:44:03.808000,2026-04-02 20:44:09.226231,2026-04-02 20:44:09.499364,True,5691.364
06:18:45:30:4c:79,-79,201752,2026-04-02 20:44:03.910000,2026-04-02 20:44:09.227238,2026-04-02 20:44:09.499364,True,5589.364
06:18:45:30:4c:79,-76,201852,2026-04-02 20:44:04.010000,2026-04-02 20:44:09.227238,2026-04-02 20:44:09.500371,True,5490.371
89:a1:41:12:24:62,-85,201890,2026-04-02 20:44:04.048000,2026-04-02 20:44:09.228246,2026-04-02 20:44:09.500371,True,5452.371
06:18:45:30:4c:79,-82,201890,2026-04-02 20:44:04.048000,2026-04-02 20:44:09.229255,2026-04-02 20:44:09.501379,True,5453.379
0f:6c:8a:86:6f:33,-86,201902,2026-04-02 20:44:04.060000,2026-04-02 20:44:09.229255,2026-04-02 20:44:09.502388,True,5442.388
06:18:45:30:4c:79,-79,202002,2026-04-02 20:44:04.160000,2026-04-02 20:44:09.230337,2026-04-02 20:44:09.502388,True,5342.388
80:2b:17:12:45:6f,-60,202052,2026-04-02 20:44:04.210000,2026-04-02 20:44:09.230337,2026-04-02 20:44:09.503470,True,5293.47
06:18:45:30:4c:79,-72,202102,2026-04-02 20:44:04.260000,2026-04-02 20:44:09.231346,2026-04-02 20:44:09.504479,True,5244.479
7e:97:1b:0d:4b:7d,-64,202150,2026-04-02 20:44:04.308000,2026-04-02 20:44:09.232355,2026-04-02 20:44:09.504479,True,5196.479
06:18:45:30:4c:79,-77,202150,2026-04-02 20:44:04.308000,2026-04-02 20:44:09.232355,2026-04-02 20:44:09.505488,True,5197.488
06:18:45:30:4c:79,-76,202302,2026-04-02 20:44:04.460000,2026-04-02 20:44:09.233377,2026-04-02 20:44:09.505488,True,5045.488
06:18:45:30:4c:79,-69,202402,2026-04-02 20:44:04.560000,2026-04-02 20:44:09.233377,2026-04-02 20:44:09.506510,True,4946.51
06:18:45:30:4c:79,-74,202452,2026-04-02 20:44:04.610000,2026-04-02 20:44:09.234386,2026-04-02 20:44:09.507519,True,4897.519
06:18:45:30:4c:79,-84,202501,2026-04-02 20:44:04.659000,2026-04-02 20:44:09.235468,2026-04-02 20:44:09.507519,True,4848.519
0f:6c:8a:86:6f:33,-82,202501,2026-04-02 20:44:04.659000,2026-04-02 20:44:09.235468,2026-04-02 20:44:09.508601,True,4849.601
06:18:45:30:4c:79,-70,202545,2026-04-02 20:44:04.703000,2026-04-02 20:44:09.236553,2026-04-02 20:44:09.508601,True,4805.601
06:18:45:30:4c:79,-69,202545,2026-04-02 20:44:04.703000,2026-04-02 20:44:09.236553,2026-04-02 20:44:09.509686,True,4806.686
b2:df:f9:76:1f:e1,-72,202552,2026-04-02 20:44:04.710000,2026-04-02 20:44:09.237580,2026-04-02 20:44:09.510714,True,4800.713
80:2b:17:12:45:6f,-51,202599,2026-04-02 20:44:04.757000,2026-04-02 20:44:09.238587,2026-04-02 20:44:09.510714,True,4753.713
4b:0c:7b:38:49:e3,-64,202599,2026-04-02 20:44:04.757000,2026-04-02 20:44:09.238587,2026-04-02 20:44:09.511720,True,4754.72
7e:97:1b:0d:4b:7d,-63,202702,2026-04-02 20:44:04.860000,2026-04-02 20:44:09.239595,2026-04-02 20:44:09.511720,True,4651.72
06:18:45:30:4c:79,-79,202752,2026-04-02 20:44:04.910000,2026-04-02 20:44:09.239595,2026-04-02 20:44:09.512728,True,4602.728
49:1f:eb:cd:ba:d4,-64,203052,2026-04-02 20:44:05.210000,2026-04-02 20:44:09.240808,2026-04-02 20:44:09.512728,True,4302.728
